tourney_date,tourney_name,tourney_level,winner_name,loser_name,score,gender
20240416,US Open,Grand Slam,Elena Rybakina,Liudmila Samsonova,7 7 3 12,W
20240418,Wimbledon,Grand Slam,Marketa Vondrousova,Beatriz Haddad Maia,7 7,W
20240420,Cincinnati Masters,Masters 1000,Tommy Paul,Hubert Hurkacz,7 6 5 12,M
20240422,Monte Carlo Masters,Masters 1000,Iga Swiatek,Diana Shnaider,7 7 3 12,W
20240424,Australian Open,Grand Slam,Daniil Medvedev,Sebastian Korda,7 7 5 12,M
20240426,French Open,Grand Slam,Jessica Pegula,Liudmila Samsonova,6 7,W
20240428,Canada Masters,Masters 1000,Novak Djokovic,Alex de Minaur,7 6,M
20240430,French Open,Grand Slam,Taylor Fritz,Grigor Dimitrov,6 7 5 10,M
20240502,Madrid Masters,Masters 1000,Marketa Vondrousova,Magdalena Fręch,7 7 5 10,W
20240504,Canada Masters,Masters 1000,Victoria Azarenka,Beatriz Haddad Maia,6 7 3 11,W
20240506,French Open,Grand Slam,Lorenzo Musetti,Casper Ruud,6 7,M
20240508,Shanghai Masters,Masters 1000,Diana Shnaider,Mirra Andreeva,6 6 5 11,W
20240510,Wimbledon,Grand Slam,Beatriz Haddad Maia,Liudmila Samsonova,6 6,W
20240512,Cincinnati Masters,Masters 1000,Daniil Medvedev,Casper Ruud,7 6,M
20240514,Cincinnati Masters,Masters 1000,Coco Gauff,Madison Keys,6 7,W
20240516,Australian Open,Grand Slam,Anna Karolina Schmiedlova,Beatriz Haddad Maia,6 7,W
20240518,Wimbledon,Grand Slam,Amanda Anisimova,Belinda Bencic,7 7,W
20240520,French Open,Grand Slam,Daniil Medvedev,Stefanos Tsitsipas,6 6 5 11,M
20240522,Cincinnati Masters,Masters 1000,Coco Gauff,Magdalena Fręch,6 7 3 10,W
20240524,Wimbledon,Grand Slam,Amanda Anisimova,Jeļena Ostapenko,7 6 5 13,W
20240526,Cincinnati Masters,Masters 1000,Tommy Paul,Felix Auger-Aliassime,7 7 5 10,M
20240528,Paris Masters,Masters 1000,Alex de Minaur,Jakub Mensik,6 7 3 10,M
20240530,Shanghai Masters,Masters 1000,Ben Shelton,Tommy Paul,7 7 3 10,M
20240601,Australian Open,Grand Slam,Victoria Azarenka,Elena Rybakina,6 7 3 10,W
20240603,US Open,Grand Slam,Jannik Sinner,Andriy Rublev,7 7 5 10,M
20240605,Miami Masters,Masters 1000,Lorenzo Musetti,Daniil Medvedev,7 7 5 10,M
20240607,Rome Masters,Masters 1000,Coco Gauff,Victoria Azarenka,6 6,W
20240609,Shanghai Masters,Masters 1000,Sebastian Korda,Grigor Dimitrov,6 7 4 12,M
20240611,Miami Masters,Masters 1000,Daniil Medvedev,Hubert Hurkacz,6 6,M
20240613,Miami Masters,Masters 1000,Amanda Anisimova,Diana Shnaider,7 7,W
20240615,Wimbledon,Grand Slam,Felix Auger-Aliassime,Stefanos Tsitsipas,7 6,M
20240617,French Open,Grand Slam,Tommy Paul,Grigor Dimitrov,7 7,M
20240619,Australian Open,Grand Slam,Alex de Minaur,Casper Ruud,6 6 5 10,M
20240621,Miami Masters,Masters 1000,Karolina Muchova,Beatriz Haddad Maia,7 6,W
20240623,Cincinnati Masters,Masters 1000,Mirra Andreeva,Diana Shnaider,7 6 3 10,W
20240625,French Open,Grand Slam,Grigor Dimitrov,Andriy Rublev,6 7 4 13,M
20240627,Madrid Masters,Masters 1000,Novak Djokovic,Hubert Hurkacz,6 7 3 11,M
20240629,US Open,Grand Slam,Jakub Mensik,Andriy Rublev,6 6 3 12,M
20240701,US Open,Grand Slam,Elena Rybakina,Marketa Vondrousova,6 7,W
20240703,Paris Masters,Masters 1000,Stefanos Tsitsipas,Felix Auger-Aliassime,6 6 5 10,M
20240705,Wimbledon,Grand Slam,Casper Ruud,Andriy Rublev,7 7 4 10,M
20240707,French Open,Grand Slam,Casper Ruud,Andriy Rublev,7 7 4 11,M
20240709,Monte Carlo Masters,Masters 1000,Stefanos Tsitsipas,Felix Auger-Aliassime,6 6 3 10,M
20240711,Monte Carlo Masters,Masters 1000,Magdalena Fręch,Liudmila Samsonova,7 6 4 12,W
20240713,Wimbledon,Grand Slam,Carlos Alcaraz,Grigor Dimitrov,7 6 3 12,M
20240715,Shanghai Masters,Masters 1000,Jakub Mensik,Daniil Medvedev,7 6 3 10,M
20240717,Australian Open,Grand Slam,Carlos Alcaraz,Daniil Medvedev,7 7 5 13,M
20240719,French Open,Grand Slam,Mirra Andreeva,Madison Keys,7 7 4 11,W
20240721,Wimbledon,Grand Slam,Victoria Azarenka,Karolina Muchova,6 7,W
20240723,Australian Open,Grand Slam,Elena Rybakina,Jeļena Ostapenko,7 6,W
20240725,Monte Carlo Masters,Masters 1000,Tommy Paul,Taylor Fritz,6 6,M
20240727,Madrid Masters,Masters 1000,Taylor Fritz,Casper Ruud,6 7 3 10,M
20240729,Monte Carlo Masters,Masters 1000,Elena Rybakina,Anna Karolina Schmiedlova,7 6,W
20240731,Madrid Masters,Masters 1000,Karolina Muchova,Coco Gauff,6 7 5 10,W
20240802,US Open,Grand Slam,Felix Auger-Aliassime,Alex de Minaur,7 7,M
20240804,Paris Masters,Masters 1000,Stefanos Tsitsipas,Sebastian Korda,6 7,M
20240806,French Open,Grand Slam,Jannik Sinner,Daniil Medvedev,7 7 4 10,M
20240808,Australian Open,Grand Slam,Iga Swiatek,Belinda Bencic,6 7,W
20240810,Miami Masters,Masters 1000,Grigor Dimitrov,Tommy Paul,6 6,M
20240812,Miami Masters,Masters 1000,Elena Rybakina,Magdalena Fręch,6 6 4 12,W
20240814,Madrid Masters,Masters 1000,Carlos Alcaraz,Grigor Dimitrov,7 6,M
20240816,Wimbledon,Grand Slam,Jasmine Paolini,Madison Keys,6 7 5 12,W
20240818,Miami Masters,Masters 1000,Beatriz Haddad Maia,Jeļena Ostapenko,7 6 4 12,W
20240820,French Open,Grand Slam,Alex de Minaur,Daniil Medvedev,6 6,M
20240822,Rome Masters,Masters 1000,Novak Djokovic,Taylor Fritz,7 7,M
20240824,Miami Masters,Masters 1000,Daniil Medvedev,Andriy Rublev,7 7 4 12,M
20240826,Cincinnati Masters,Masters 1000,Carlos Alcaraz,Sebastian Korda,7 7,M
20240828,Shanghai Masters,Masters 1000,Hubert Hurkacz,Sebastian Korda,6 7,M
20240830,Rome Masters,Masters 1000,Lorenzo Musetti,Daniil Medvedev,7 6,M
20240901,Canada Masters,Masters 1000,Mirra Andreeva,Anna Karolina Schmiedlova,7 6 3 13,W
20240903,Shanghai Masters,Masters 1000,Daniil Medvedev,Daniil Medvedev,7 7,M
20240905,Monte Carlo Masters,Masters 1000,Elina Svitolina,Liudmila Samsonova,7 6 3 11,W
20240907,Miami Masters,Masters 1000,Stefanos Tsitsipas,Felix Auger-Aliassime,7 6 5 13,M
20240909,Cincinnati Masters,Masters 1000,Ben Shelton,Alexander Zverev,6 7 5 10,M
20240911,Shanghai Masters,Masters 1000,Amanda Anisimova,Anna Karolina Schmiedlova,7 7 5 11,W
20240913,Cincinnati Masters,Masters 1000,Marketa Vondrousova,Liudmila Samsonova,7 7,W
20240915,Paris Masters,Masters 1000,Coco Gauff,Madison Keys,7 7,W
20240917,Cincinnati Masters,Masters 1000,Coco Gauff,Mirra Andreeva,7 6,W
20240919,Australian Open,Grand Slam,Anna Karolina Schmiedlova,Diana Shnaider,7 7 4 13,W
20240921,Wimbledon,Grand Slam,Ben Shelton,Andriy Rublev,6 7 5 13,M
20240923,French Open,Grand Slam,Victoria Azarenka,Liudmila Samsonova,7 6 4 10,W
20240925,Miami Masters,Masters 1000,Elena Rybakina,Mirra Andreeva,6 6 3 10,W
20240927,Australian Open,Grand Slam,Arthur Fils,Jakub Mensik,6 7 3 11,M
20240929,Shanghai Masters,Masters 1000,Taylor Fritz,Hubert Hurkacz,6 6,M
20241001,Miami Masters,Masters 1000,Diana Shnaider,Victoria Azarenka,7 6,W
20241003,Rome Masters,Masters 1000,Ben Shelton,Tommy Paul,7 6,M
20241005,Shanghai Masters,Masters 1000,Ben Shelton,Lorenzo Musetti,6 7,M
20241007,Rome Masters,Masters 1000,Lorenzo Musetti,Grigor Dimitrov,7 7,M
20241009,Madrid Masters,Masters 1000,Jakub Mensik,Arthur Fils,7 6 3 11,M
20241011,Shanghai Masters,Masters 1000,Novak Djokovic,Hubert Hurkacz,6 6,M
20241013,Canada Masters,Masters 1000,Felix Auger-Aliassime,Jakub Mensik,6 7,M
20241015,Miami Masters,Masters 1000,Sebastian Korda,Andriy Rublev,6 7,M
20241017,Australian Open,Grand Slam,Tommy Paul,Ben Shelton,7 6,M
20241019,Shanghai Masters,Masters 1000,Coco Gauff,Beatriz Haddad Maia,6 6,W
20241021,Shanghai Masters,Masters 1000,Daniil Medvedev,Tommy Paul,7 7 5 12,M
20241023,Cincinnati Masters,Masters 1000,Tommy Paul,Hubert Hurkacz,6 7 3 11,M
20241025,Monte Carlo Masters,Masters 1000,Arthur Fils,Alex de Minaur,6 7,M
20241027,Canada Masters,Masters 1000,Carlos Alcaraz,Taylor Fritz,6 6,M
20241029,Rome Masters,Masters 1000,Liudmila Samsonova,Magdalena Fręch,6 6,W
20241031,US Open,Grand Slam,Elina Svitolina,Marketa Vondrousova,7 6 4 12,W
20241102,Australian Open,Grand Slam,Carlos Alcaraz,Arthur Fils,6 7,M
20241104,Monte Carlo Masters,Masters 1000,Daniil Medvedev,Taylor Fritz,6 7,M
20241106,Paris Masters,Masters 1000,Daniil Medvedev,Grigor Dimitrov,6 7,M
20241108,Rome Masters,Masters 1000,Taylor Fritz,Novak Djokovic,6 7,M
20241110,Madrid Masters,Masters 1000,Elena Rybakina,Jessica Pegula,6 7 5 10,W
20241112,Canada Masters,Masters 1000,Jasmine Paolini,Madison Keys,7 7,W
20241114,Wimbledon,Grand Slam,Alex de Minaur,Casper Ruud,6 7 4 11,M
20241116,Monte Carlo Masters,Masters 1000,Amanda Anisimova,Mirra Andreeva,6 6 5 11,W
20241118,Wimbledon,Grand Slam,Ben Shelton,Stefanos Tsitsipas,7 6 5 13,M
20241120,Madrid Masters,Masters 1000,Ben Shelton,Felix Auger-Aliassime,7 6 5 13,M
20241122,Miami Masters,Masters 1000,Karolina Muchova,Beatriz Haddad Maia,7 6,W
20241124,Cincinnati Masters,Masters 1000,Elina Svitolina,Marketa Vondrousova,7 6,W
20241126,Shanghai Masters,Masters 1000,Tommy Paul,Alexander Zverev,6 7 5 11,M
20241128,French Open,Grand Slam,Taylor Fritz,Novak Djokovic,6 6 4 11,M
20241130,Miami Masters,Masters 1000,Jakub Mensik,Ben Shelton,7 7 4 13,M
20241202,Shanghai Masters,Masters 1000,Karolina Muchova,Elina Svitolina,6 7,W
20241204,Wimbledon,Grand Slam,Andriy Rublev,Taylor Fritz,7 7 5 10,M
20241206,US Open,Grand Slam,Aryna Sabalenka,Liudmila Samsonova,6 6,W
20241208,Paris Masters,Masters 1000,Daniil Medvedev,Ben Shelton,7 7 4 10,M
20241210,US Open,Grand Slam,Ben Shelton,Arthur Fils,7 7,M
20241212,Cincinnati Masters,Masters 1000,Jessica Pegula,Amanda Anisimova,6 6,W
20241214,Miami Masters,Masters 1000,Ben Shelton,Casper Ruud,6 6 5 11,M
20241216,French Open,Grand Slam,Marketa Vondrousova,Jeļena Ostapenko,7 6 5 11,W
20241218,Wimbledon,Grand Slam,Elena Rybakina,Diana Shnaider,7 7 3 11,W
20241220,Monte Carlo Masters,Masters 1000,Arthur Fils,Hubert Hurkacz,6 7,M
20241222,Canada Masters,Masters 1000,Belinda Bencic,Marketa Vondrousova,6 7 4 11,W
20241224,Monte Carlo Masters,Masters 1000,Jasmine Paolini,Jeļena Ostapenko,7 6 4 11,W
20241226,Monte Carlo Masters,Masters 1000,Jannik Sinner,Andriy Rublev,7 6,M
20241228,Wimbledon,Grand Slam,Coco Gauff,Madison Keys,6 7 5 10,W
20241230,Monte Carlo Masters,Masters 1000,Anna Karolina Schmiedlova,Iga Swiatek,6 6 5 11,W
20250101,Cincinnati Masters,Masters 1000,Jeļena Ostapenko,Anna Karolina Schmiedlova,6 6 3 13,W
20250103,Monte Carlo Masters,Masters 1000,Jannik Sinner,Casper Ruud,6 7 5 13,M
20250105,Rome Masters,Masters 1000,Iga Swiatek,Victoria Azarenka,7 7,W
20250107,French Open,Grand Slam,Stefanos Tsitsipas,Felix Auger-Aliassime,7 7 3 13,M
20250109,Miami Masters,Masters 1000,Carlos Alcaraz,Felix Auger-Aliassime,6 6,M
20250111,Cincinnati Masters,Masters 1000,Belinda Bencic,Mirra Andreeva,7 7,W
20250113,Wimbledon,Grand Slam,Victoria Azarenka,Jeļena Ostapenko,6 7 3 11,W
20250115,Shanghai Masters,Masters 1000,Elena Rybakina,Aryna Sabalenka,7 6 3 10,W
20250117,Paris Masters,Masters 1000,Daniil Medvedev,Casper Ruud,7 7 3 12,M
20250119,Australian Open,Grand Slam,Aryna Sabalenka,Madison Keys,7 6 5 10,W
20250121,Wimbledon,Grand Slam,Taylor Fritz,Sebastian Korda,7 6,M
20250123,Madrid Masters,Masters 1000,Jannik Sinner,Carlos Alcaraz,7 7,M
20250125,Australian Open,Grand Slam,Andriy Rublev,Felix Auger-Aliassime,6 7,M
20250127,Monte Carlo Masters,Masters 1000,Alex de Minaur,Arthur Fils,6 6,M
20250129,Rome Masters,Masters 1000,Elina Svitolina,Diana Shnaider,7 6,W
20250131,Paris Masters,Masters 1000,Daniil Medvedev,Grigor Dimitrov,6 7 4 10,M
20250202,Paris Masters,Masters 1000,Alexander Zverev,Felix Auger-Aliassime,6 7 5 11,M
20250204,Paris Masters,Masters 1000,Jakub Mensik,Grigor Dimitrov,7 6,M
20250206,Madrid Masters,Masters 1000,Jakub Mensik,Hubert Hurkacz,6 6 5 12,M
20250208,French Open,Grand Slam,Jessica Pegula,Madison Keys,6 7,W
20250210,Canada Masters,Masters 1000,Ben Shelton,Felix Auger-Aliassime,7 7 4 11,M
20250212,Wimbledon,Grand Slam,Casper Ruud,Taylor Fritz,6 6 5 11,M
20250214,Paris Masters,Masters 1000,Ben Shelton,Arthur Fils,7 7,M
20250216,Paris Masters,Masters 1000,Carlos Alcaraz,Grigor Dimitrov,6 7 4 12,M
20250218,Paris Masters,Masters 1000,Daniil Medvedev,Alex de Minaur,7 6,M
20250220,French Open,Grand Slam,Daniil Medvedev,Lorenzo Musetti,6 6,M
20250222,Canada Masters,Masters 1000,Elena Rybakina,Jeļena Ostapenko,6 6 4 10,W
20250224,Rome Masters,Masters 1000,Stefanos Tsitsipas,Grigor Dimitrov,6 7,M
20250226,Shanghai Masters,Masters 1000,Daniil Medvedev,Daniil Medvedev,7 7 5 13,M
20250228,Wimbledon,Grand Slam,Belinda Bencic,Jeļena Ostapenko,7 7 4 13,W
20250302,Paris Masters,Masters 1000,Novak Djokovic,Taylor Fritz,7 6,M
20250304,Cincinnati Masters,Masters 1000,Stefanos Tsitsipas,Alex de Minaur,6 6,M
20250306,Miami Masters,Masters 1000,Carlos Alcaraz,Andriy Rublev,7 6 5 12,M
20250308,Monte Carlo Masters,Masters 1000,Tommy Paul,Grigor Dimitrov,6 7 4 10,M
20250310,Cincinnati Masters,Masters 1000,Mirra Andreeva,Anna Karolina Schmiedlova,7 7 4 13,W
20250312,Miami Masters,Masters 1000,Carlos Alcaraz,Sebastian Korda,7 7 4 10,M
20250314,Madrid Masters,Masters 1000,Belinda Bencic,Madison Keys,6 7,W
20250316,Paris Masters,Masters 1000,Coco Gauff,Victoria Azarenka,7 6 4 10,W
20250318,French Open,Grand Slam,Jessica Pegula,Mirra Andreeva,7 6 4 13,W
20250320,Monte Carlo Masters,Masters 1000,Sebastian Korda,Tommy Paul,7 6,M
20250322,US Open,Grand Slam,Jessica Pegula,Coco Gauff,7 6,W
20250324,US Open,Grand Slam,Coco Gauff,Anna Karolina Schmiedlova,7 7,W
20250326,French Open,Grand Slam,Jeļena Ostapenko,Amanda Anisimova,7 6,W
20250328,Canada Masters,Masters 1000,Jeļena Ostapenko,Magdalena Fręch,6 6 5 13,W
20250330,French Open,Grand Slam,Coco Gauff,Jessica Pegula,6 6,W
20250401,Madrid Masters,Masters 1000,Felix Auger-Aliassime,Taylor Fritz,6 6,M
20250403,Miami Masters,Masters 1000,Jessica Pegula,Marketa Vondrousova,7 7 3 12,W
20250405,Australian Open,Grand Slam,Casper Ruud,Taylor Fritz,7 6,M
20250407,Australian Open,Grand Slam,Carlos Alcaraz,Andriy Rublev,6 6,M
20250409,Canada Masters,Masters 1000,Beatriz Haddad Maia,Jasmine Paolini,7 6,W
20250411,Australian Open,Grand Slam,Alexander Zverev,Daniil Medvedev,6 7,M
20250413,Monte Carlo Masters,Masters 1000,Carlos Alcaraz,Stefanos Tsitsipas,6 7 3 10,M
20250415,French Open,Grand Slam,Novak Djokovic,Lorenzo Musetti,7 6 4 11,M
20250417,Miami Masters,Masters 1000,Beatriz Haddad Maia,Madison Keys,6 6 3 12,W
20250419,US Open,Grand Slam,Daniil Medvedev,Ben Shelton,7 7 3 11,M
20250421,Monte Carlo Masters,Masters 1000,Ben Shelton,Lorenzo Musetti,7 6 3 11,M
20250423,Cincinnati Masters,Masters 1000,Belinda Bencic,Coco Gauff,7 6,W
20250425,US Open,Grand Slam,Marketa Vondrousova,Mirra Andreeva,6 6 4 13,W
20250427,Miami Masters,Masters 1000,Andriy Rublev,Alex de Minaur,7 7,M
20250429,Paris Masters,Masters 1000,Mirra Andreeva,Jessica Pegula,7 7,W
20250501,US Open,Grand Slam,Stefanos Tsitsipas,Tommy Paul,6 6,M
20250503,Australian Open,Grand Slam,Taylor Fritz,Hubert Hurkacz,6 6 4 10,M
20250505,French Open,Grand Slam,Daniil Medvedev,Tommy Paul,7 7 3 13,M
20250507,Cincinnati Masters,Masters 1000,Carlos Alcaraz,Arthur Fils,6 6 4 10,M
20250509,Monte Carlo Masters,Masters 1000,Arthur Fils,Tommy Paul,7 7 4 13,M
20250511,Paris Masters,Masters 1000,Alex de Minaur,Carlos Alcaraz,7 6 5 12,M
20250513,French Open,Grand Slam,Elena Rybakina,Coco Gauff,6 7,W
20250515,Canada Masters,Masters 1000,Stefanos Tsitsipas,Jakub Mensik,6 7 4 10,M
20250517,Madrid Masters,Masters 1000,Jasmine Paolini,Diana Shnaider,7 6 3 12,W
20250519,US Open,Grand Slam,Taylor Fritz,Grigor Dimitrov,7 6 4 13,M
20250521,Paris Masters,Masters 1000,Belinda Bencic,Beatriz Haddad Maia,7 7,W
20250523,Madrid Masters,Masters 1000,Jeļena Ostapenko,Elina Svitolina,7 6,W
20250525,French Open,Grand Slam,Daniil Medvedev,Taylor Fritz,6 7,M
20250527,Madrid Masters,Masters 1000,Ben Shelton,Tommy Paul,7 7,M
20250529,Monte Carlo Masters,Masters 1000,Magdalena Fręch,Anna Karolina Schmiedlova,7 7,W
20250531,Madrid Masters,Masters 1000,Iga Swiatek,Diana Shnaider,7 6 3 11,W
20250602,Monte Carlo Masters,Masters 1000,Mirra Andreeva,Jeļena Ostapenko,6 7 4 10,W
20250604,US Open,Grand Slam,Jannik Sinner,Casper Ruud,6 7,M
20250606,Shanghai Masters,Masters 1000,Elena Rybakina,Beatriz Haddad Maia,7 6 5 10,W
20250608,US Open,Grand Slam,Ben Shelton,Daniil Medvedev,7 6,M
20250610,Canada Masters,Masters 1000,Novak Djokovic,Hubert Hurkacz,7 6 5 10,M
20250612,Madrid Masters,Masters 1000,Felix Auger-Aliassime,Grigor Dimitrov,6 6 5 12,M
20250614,US Open,Grand Slam,Daniil Medvedev,Stefanos Tsitsipas,6 6 5 13,M
20250616,Australian Open,Grand Slam,Madison Keys,Elena Rybakina,6 6 5 11,W
20250618,Rome Masters,Masters 1000,Elina Svitolina,Marketa Vondrousova,6 6,W
20250620,US Open,Grand Slam,Amanda Anisimova,Beatriz Haddad Maia,6 6 3 10,W
20250622,French Open,Grand Slam,Novak Djokovic,Arthur Fils,6 6,M
20250624,Australian Open,Grand Slam,Alexander Zverev,Casper Ruud,6 6 5 12,M
20250626,Wimbledon,Grand Slam,Lorenzo Musetti,Daniil Medvedev,7 7,M
20250628,Canada Masters,Masters 1000,Elina Svitolina,Madison Keys,6 7,W
20250630,Australian Open,Grand Slam,Lorenzo Musetti,Alex de Minaur,6 6,M
20250702,Rome Masters,Masters 1000,Daniil Medvedev,Felix Auger-Aliassime,7 6,M
20250704,Canada Masters,Masters 1000,Andriy Rublev,Ben Shelton,7 6 4 12,M
20250706,US Open,Grand Slam,Marketa Vondrousova,Liudmila Samsonova,6 6 3 12,W
20250708,Monte Carlo Masters,Masters 1000,Elena Rybakina,Amanda Anisimova,6 7 3 13,W
20250710,Wimbledon,Grand Slam,Casper Ruud,Grigor Dimitrov,7 7 5 11,M
20250712,Paris Masters,Masters 1000,Jasmine Paolini,Karolina Muchova,7 6,W
20250714,Cincinnati Masters,Masters 1000,Carlos Alcaraz,Lorenzo Musetti,6 7,M
20250716,Shanghai Masters,Masters 1000,Coco Gauff,Madison Keys,6 7 5 11,W
20250718,Shanghai Masters,Masters 1000,Alexander Zverev,Carlos Alcaraz,7 6 5 13,M
20250720,Paris Masters,Masters 1000,Ben Shelton,Arthur Fils,6 7,M
20250722,Rome Masters,Masters 1000,Jakub Mensik,Daniil Medvedev,6 7,M
20250724,US Open,Grand Slam,Liudmila Samsonova,Anna Karolina Schmiedlova,7 7,W
20250726,Miami Masters,Masters 1000,Jeļena Ostapenko,Belinda Bencic,6 7 4 12,W
20250728,Wimbledon,Grand Slam,Jannik Sinner,Alexander Zverev,6 7 4 10,M
20250730,Rome Masters,Masters 1000,Taylor Fritz,Andriy Rublev,7 7 5 12,M
20250801,French Open,Grand Slam,Victoria Azarenka,Anna Karolina Schmiedlova,7 7,W
20250803,Miami Masters,Masters 1000,Alexander Zverev,Sebastian Korda,7 6,M
20250805,Shanghai Masters,Masters 1000,Jeļena Ostapenko,Karolina Muchova,6 6,W
20250807,Wimbledon,Grand Slam,Felix Auger-Aliassime,Ben Shelton,7 6,M
20250809,Miami Masters,Masters 1000,Elina Svitolina,Beatriz Haddad Maia,7 6,W
20250811,Madrid Masters,Masters 1000,Jeļena Ostapenko,Karolina Muchova,7 7,W
20250813,Miami Masters,Masters 1000,Elena Rybakina,Diana Shnaider,6 6 3 10,W
20250815,Rome Masters,Masters 1000,Karolina Muchova,Madison Keys,6 6,W
20250817,Wimbledon,Grand Slam,Alex de Minaur,Grigor Dimitrov,6 7,M
20250819,Paris Masters,Masters 1000,Carlos Alcaraz,Lorenzo Musetti,7 7 5 10,M
20250821,US Open,Grand Slam,Stefanos Tsitsipas,Lorenzo Musetti,7 6,M
20250823,Cincinnati Masters,Masters 1000,Iga Swiatek,Karolina Muchova,6 6,W
20250825,Wimbledon,Grand Slam,Karolina Muchova,Liudmila Samsonova,6 7,W
